name,BS10,BS18,BS15,BS07,BS06,BS03,BS04,BS05,BS01,BS02,BS08,BS09,BS11,BS12,BS13,BS14,BS16,BS17,BS19,BS20,BS21,BS22,BS23,BS24,BS25,BS26,BS27,BS28,BS29,BS30,BS31,BS32,Log BCF*,Log Kow*
TMP ,0.004 ,0.005 ,0.002 ,0.022 ,0.013 ,0.008 ,0.005 ,0.016 ,0.005 ,0.007 ,0.005 ,0.010 ,0.009 ,0.018 ,0.005 ,0.003 ,0.006 ,0.011 ,0.007 ,0.022 ,0.006 ,0.018 ,0.005 ,0.017 ,0.009 ,0.007 ,0.005 ,0.013 ,0.005 ,0.283 ,0.006 ,0.006 ,0.5,-0.65
TEP ,0.833 ,0.592 ,0.188 ,1.935 ,1.087 ,0.850 ,0.725 ,1.203 ,0.572 ,0.472 ,0.113 ,0.476 ,1.164 ,0.819 ,0.849 ,0.839 ,0.530 ,0.869 ,0.584 ,1.662 ,0.596 ,0.711 ,0.862 ,0.738 ,0.928 ,0.657 ,0.387 ,1.067 ,0.691 ,0.181 ,0.737 ,1.222 ,0.5,0.87
TIBP ,0.114 ,0.105 ,0.071 ,0.471 ,0.300 ,0.189 ,0.142 ,0.164 ,0.114 ,0.087 ,0.047 ,0.078 ,0.386 ,0.088 ,0.109 ,0.127 ,0.141 ,0.162 ,0.242 ,0.325 ,0.163 ,0.110 ,0.186 ,0.182 ,0.203 ,0.140 ,0.080 ,0.153 ,0.117 ,0.268 ,0.105 ,0.164 ,0.156,2.12
TNBP ,0.727 ,0.268 ,0.029 ,1.023 ,0.207 ,0.575 ,0.589 ,0.267 ,0.255 ,0.046 ,0.025 ,0.210 ,0.465 ,0.287 ,0.521 ,0.051 ,0.236 ,0.320 ,0.098 ,0.241 ,0.592 ,0.338 ,0.335 ,0.401 ,0.277 ,0.325 ,0.038 ,0.256 ,0.236 ,0.029 ,0.397 ,0.334 ,1.6,4
TEHP ,0.015 ,0.054 ,0.053 ,0.193 ,0.120 ,0.382 ,0.166 ,0.088 ,0.073 ,0.126 ,0.092 ,0.269 ,0.170 ,0.098 ,0.046 ,0.028 ,0.087 ,0.067 ,0.276 ,0.283 ,0.162 ,0.006 ,0.135 ,0.343 ,0.121 ,0.043 ,0.071 ,0.169 ,0.087 ,0.019 ,0.055 ,0.237 ,0.5,9.49
TBOEP ,0.285 ,0.507 ,0.037 ,0.816 ,0.258 ,0.189 ,0.248 ,0.840 ,0.237 ,0.072 ,,,0.177 ,0.826 ,0.269 ,0.267 ,0.436 ,0.882 ,0.056 ,0.228 ,0.315 ,0.532 ,0.102 ,0.195 ,0.096 ,0.150 ,0.154 ,0.324 ,0.333 ,0.025 ,0.350 ,0.389 ,1.408,3
TCEP ,4.836 ,3.579 ,2.562 ,10.774 ,6.982 ,4.856 ,3.492 ,6.054 ,5.183 ,4.374 ,1.492 ,0.849 ,4.597 ,1.269 ,4.648 ,6.344 ,5.136 ,6.050 ,3.191 ,4.334 ,4.587 ,4.255 ,5.993 ,4.302 ,8.934 ,4.197 ,3.050 ,5.060 ,3.876 ,1.614 ,4.547 ,5.186 ,-0.371,1.44
TCIPP ,4.604 ,3.703 ,3.554 ,13.747 ,4.054 ,4.897 ,2.153 ,4.534 ,4.952 ,5.744 ,2.479 ,1.268 ,4.099 ,1.214 ,3.346 ,6.011 ,4.414 ,4.430 ,6.106 ,2.824 ,5.344 ,3.991 ,6.214 ,5.286 ,8.499 ,4.467 ,3.675 ,4.569 ,2.861 ,3.487 ,3.088 ,9.200 ,0.5,0.45
T3CPP,2.879 ,2.313 ,2.212 ,8.571 ,2.530 ,3.059 ,1.346 ,2.819 ,3.093 ,3.594 ,1.544 ,0.790 ,2.556 ,0.764 ,2.088 ,3.746 ,2.739 ,2.765 ,3.828 ,1.755 ,3.347 ,2.517 ,3.884 ,3.334 ,5.300 ,2.787 ,2.298 ,2.884 ,1.787 ,2.178 ,1.923 ,5.786 ,0.912,3.11
TDCP ,,,0.025 ,0.061 ,0.031 ,0.034 ,,0.025 ,0.029 ,0.042 ,0.024 ,0.044 ,,,,0.026 ,0.028 ,0.028 ,0.061 ,0.035 ,0.034 ,,0.049 ,0.066 ,0.064 ,0.030 ,0.034 ,0.030 ,0.031 ,0.020 ,,0.038 ,1.331,3.65
