name,BS10,BS18,BS15,BS07,BS06,BS03,BS04,BS05,BS01,BS02,BS08,BS09,BS11,BS12,BS13,BS14,BS16,BS17,BS19,BS20,BS21,BS22,BS23,BS24,BS25,BS26,BS27,BS28,BS29,BS30,BS31,BS32,Log BCF*,Log Kow*
TMP ,0.004216867,0.00482,0.00244,0.021727941,0.01304,0.008194369,0.005448578,0.015967078,0.0049,0.00704,0.00464,0.010477707,0.009160305,0.018254848,0.004955157,0.00272,0.006329114,0.010872483,0.00686901,0.022135678,0.005963303,0.0184,0.00508,0.01745283,0.00864,0.007031111,0.005064378,0.01316,0.00472,0.2827,0.00588,0.00608,0.1,-0.13
TEP ,0.832871486,0.59226,0.18792,1.934889706,1.08656,0.850106313,0.725273523,1.203353909,0.57182,0.47248,0.11316,0.476433121,1.163994911,0.818698061,0.849394619,0.83902,0.529767932,0.869463087,0.584217252,1.661934673,0.595779817,0.71126,0.86198,0.73759434,0.9281,0.656981989,0.38667382,1.06664,0.6914,0.18126,0.73706,1.222,0.1,0.174
TIBP ,0.113634538,0.10494,0.07126,0.471102941,0.30016,0.188863264,0.141859956,0.164074074,0.11396,0.08664,0.0469,0.077738854,0.386005089,0.087811634,0.108721973,0.12712,0.141392405,0.161834452,0.242492013,0.324974874,0.162545872,0.10982,0.1861,0.181981132,0.20264,0.140437147,0.079892704,0.15328,0.11728,0.26846,0.10508,0.1637,0.0312,0.424
TNBP ,0.727449799,0.2683,0.02916,1.023308824,0.20676,0.574942327,0.589365427,0.266604938,0.25488,0.04558,0.02512,0.210095541,0.465114504,0.2866759,0.520605381,0.05068,0.235527426,0.319821029,0.098051118,0.241180905,0.592224771,0.33844,0.33464,0.401037736,0.27658,0.325158559,0.037854077,0.25622,0.23644,0.02926,0.39718,0.3342,0.32,0.8
TEHP ,0.01497992,0.05416,0.0526,0.193088235,0.11972,0.382243008,0.166214442,0.088024691,0.0729,0.12556,0.0922,0.269203822,0.170305344,0.09833795,0.045807175,0.0284,0.087362869,0.066733781,0.275750799,0.282839196,0.161536697,0.00556,0.13454,0.343490566,0.1211,0.04291904,0.071437768,0.169,0.0871,0.01914,0.05478,0.23742,0.1,1.898
TBOEP ,0.285421687,0.50686,0.03726,0.816433824,0.2579,0.189301896,0.247746171,0.840246914,0.23678,0.07194,,,0.177251908,0.82565097,0.268834081,0.26674,0.436118143,0.882170022,0.055782748,0.227864322,0.314770642,0.5318,0.10228,0.194528302,0.09576,0.150345825,0.154463519,0.32396,0.33328,0.02506,0.34954,0.3891,0.2816,0.6
TCEP ,4.835963855,3.57884,2.56234,10.77444853,6.98244,4.855730418,3.492231947,6.053539095,5.183,4.37374,1.49218,0.848949045,4.59740458,1.268531856,4.648273543,6.34398,5.136392405,6.050268456,3.191246006,4.334045226,4.587201835,4.25508,5.99276,4.302240566,8.93398,4.196853196,3.04972103,5.05972,3.8758,1.61388,4.54726,5.18628,-0.0742,0.288
TCIPP ,4.603895582,3.70258,3.55428,13.74702206,4.05428,4.897495003,2.152866521,4.534444444,4.95196,5.74384,2.4792,1.268248408,4.098931298,1.213601108,3.346076233,6.01066,4.414367089,4.429642058,6.106261981,2.82379397,5.344174312,3.99136,6.21446,5.286367925,8.499,4.467247997,3.674871245,4.5691,2.86088,3.48672,3.08804,9.19994,0.1,0.09
T3CPP,2.879156627,2.31342,2.21152,8.571213235,2.53018,3.059416725,1.346126915,2.81936214,3.09332,3.59426,1.5438,0.790382166,2.556234097,0.764210526,2.087802691,3.74618,2.738628692,2.7649217,3.827955272,1.754824121,3.347454128,2.51666,3.884,3.333561321,5.29984,2.78746137,2.298154506,2.88444,1.78676,2.1776,1.9228,5.78576,0.1824,0.622
TDCP ,,,0.02468,0.061323529,0.03132,0.034325344,,0.025,0.02892,0.0424,0.02364,0.044235669,,,,0.02604,0.02814346,0.028008949,0.060511182,0.034824121,0.03396789,,0.04892,0.06629717,0.06398,0.02959118,0.033905579,0.03006,0.03132,0.02002,,0.0383,0.2662,0.73
TPHP ,0.043232932,0.06678,0.03398,0.164191176,0.09536,0.089705698,0.058030635,0.141502058,0.05506,0.10184,0.10922,0.107515924,0.065267176,0.089529086,0.0332287,0.07854,0.064662447,0.048724832,0.131022364,0.202788945,0.136697248,,0.0588,0.098372642,0.06998,0.064267304,0.075729614,0.08242,0.0752,0.04006,0.04104,0.09418,0.4108,0.94
EHDPP ,0.012991968,0.02186,0.01422,0.049080882,0.0636,0.052648383,0.081378556,0.054917695,0.01564,0.04252,0.04772,0.157993631,0.064834606,0.105235457,0.039820628,0.02362,0.074725738,0.051991051,0.04370607,0.205904523,0.030252294,,0.0274,0.041226415,0.07336,0.042100832,0.031759657,0.08112,0.05596,0.01708,0.04302,0.03586,0.5864,1.146
TPPO ,0.038092369,0.05958,0.016,0.129007353,0.06616,0.062459565,0.070131291,0.057160494,0.03984,0.02424,0.02334,0.050764331,0.053155216,0.060886427,0.099170404,0.03342,0.042109705,0.093646532,0.032939297,0.105954774,0.05733945,0.0476,0.07326,0.068066038,0.04224,0.034817136,0.033519313,0.04922,0.05426,0.00812,0.04702,0.06618,0.2958,0.566
CDPP,,,,0.037610294,0.0603,0.049809953,0.062472648,0.032407407,0.07706,0.04444,0.02364,0.085732484,0.047964377,0.068060942,0.027982063,,0.070168776,0.044272931,0.098658147,0.165376884,0.523784404,,,0.04620283,0.06938,0.038618749,,0.0681,0.04068,,0.03336,,0.5122,1.05
T3MPP,,0.01962,0.0157,0.041470588,0.02532,0.013959166,,0.014773663,0.25922,0.06112,0.04274,0.097197452,0.021221374,0.099058172,,0.0222,0.090063291,0.316689038,0.942747604,0.231758794,0.482889908,,0.08212,0.161933962,0.04066,0.0161227,0.034613734,0.07424,0.01774,,,0.26064,0.6808,1.268
T4MPP,,0.02592,0.02464,0.064154412,0.03688,0.018405891,0.014113786,0.020925926,0.38982,0.0859,0.0662,0.14656051,0.029262087,0.145096953,0.014506726,0.0344,0.133080169,0.217494407,1.44686901,0.336658291,0.725275229,,0.11406,0.251533019,0.05872,0.020001915,0.049484979,0.12064,0.0269,0.01122,,0.3871,0.6808,1.268
IDPP,0.005361446,0.02796,0.08326,0.082573529,0.01796,0.034483015,0.034070022,0.044526749,0.00858,0.03452,0.00344,0.047292994,0.045419847,0.010775623,0.020403587,0.01902,0.057025316,0.033847875,0.087923323,0.071733668,0.02,,0.01208,0.130731132,0.07054,0.029845097,0.037918455,0.08798,0.0142,0.06406,0.023,0.04104,0.4294,1.456
BPA-BDPP,0.00746988,0.003,0.0137,0.019522059,0.01396,0.010967569,0.007002188,0.003744856,0.00338,0.0038,0.00304,0.036528662,0.007760814,0.011717452,0.003834081,0.0023,0.015063291,0.005659955,0.008498403,0.04298995,0.00940367,0.00204,0.00872,0.010448113,0.01286,0.008324902,0.003841202,0.0176,0.00676,,0.00466,0.04964,1.1688,1.366
RDP ,0.005060241,,0.00328,0.006397059,0.01522,0.010071749,0.013982495,0.008168724,,,,0.02888535,0.012875318,0.017202216,0.006143498,,0.015253165,0.00901566,,0.029974874,,,0.0037,,0.01528,0.007676387,,0.0137,0.00958,,0.00634,0.01812,0.8384,1.482
