name,TMP,TEP,TIBP,TNBP,TCEP,TCIPP,TDCP,TPHP,TBOEP,EHDPP,TEHP,TPPO
BH01,2.20E-01,1.19E+00,1.34E-02,8.91E-03,1.09E+00,7.62E-01,0.00E+00,0.00E+00,7.22E-03,0.00E+00,5.23E-04,3.33E-02
BH02,9.61E-02,6.54E-02,5.75E-03,3.32E-02,3.31E-01,4.35E-01,0.00E+00,0.00E+00,2.31E-02,9.83E-04,7.47E-03,1.70E-02
BH03,1.87E-01,1.39E-01,7.85E-03,5.99E-03,9.82E-01,4.49E-01,0.00E+00,0.00E+00,8.24E-03,0.00E+00,6.02E-04,2.45E-02
BH04,1.50E-01,3.80E-01,1.72E-02,5.07E-02,2.95E+00,1.74E+00,3.15E-02,1.76E-03,4.61E-02,0.00E+00,2.59E-03,3.24E-02
BH05,3.22E-02,1.30E-01,1.19E-02,6.77E-03,8.91E-01,5.56E-01,0.00E+00,0.00E+00,6.82E-03,0.00E+00,6.53E-04,3.14E-02
BH06,2.35E-01,1.76E-01,1.42E-02,7.03E-03,3.23E+00,1.13E+00,0.00E+00,0.00E+00,3.83E-03,0.00E+00,7.99E-04,3.33E-02
BH07,1.30E-01,1.69E-01,1.20E-02,1.97E-02,1.25E+00,6.66E-01,0.00E+00,1.04E-03,2.19E-02,0.00E+00,2.75E-03,2.41E-02
BH08,1.55E-01,1.58E-01,1.78E-02,6.55E-02,2.44E+00,1.33E+00,0.00E+00,3.96E-03,3.54E-02,6.32E-04,4.05E-03,2.67E-02
BH09,6.03E-02,2.90E-01,9.79E-03,2.22E-02,2.42E+00,1.01E+00,0.00E+00,0.00E+00,8.35E-03,0.00E+00,1.41E-03,1.98E-02
BH10,1.20E-01,1.36E-01,3.99E-02,1.22E-02,1.09E+00,2.85E+00,2.91E-02,6.52E-03,2.33E-02,3.78E-03,3.97E-03,2.28E-02
BH11,1.19E-01,2.46E-01,6.95E-03,5.20E-03,2.63E+00,8.13E-01,0.00E+00,0.00E+00,3.46E-02,0.00E+00,2.63E-03,2.10E-02
BH13,8.08E-02,6.31E-02,4.42E-03,2.17E-02,3.17E-01,3.99E-01,0.00E+00,0.00E+00,1.02E-01,0.00E+00,5.72E-03,1.47E-02
BH14,1.99E-01,1.99E-01,1.27E-02,1.02E-02,3.03E+00,1.22E+00,0.00E+00,0.00E+00,5.63E-03,0.00E+00,9.03E-04,3.18E-02
BH15,2.07E-01,6.25E-01,2.52E-02,4.12E-02,3.41E+00,1.95E+00,0.00E+00,4.08E-03,2.32E-01,6.14E-04,2.32E-03,5.28E-02
BH16,2.41E-01,3.25E-01,1.78E-02,2.14E-02,1.16E+00,1.06E+00,0.00E+00,5.60E-03,2.56E-02,7.97E-04,2.92E-03,5.61E-02
BH17,1.93E-01,3.70E-01,8.36E-03,2.95E-03,1.80E+00,6.16E-01,3.24E-02,0.00E+00,7.90E-03,0.00E+00,2.37E-03,2.96E-02
BH18,1.43E-01,2.53E-01,1.04E-02,2.52E-02,2.32E+00,1.08E+00,0.00E+00,2.68E-03,6.37E-02,0.00E+00,3.26E-03,3.08E-02
BH19,2.16E-01,1.73E-01,1.79E-02,3.87E-02,3.17E+00,1.28E+00,0.00E+00,2.23E-03,5.55E-02,0.00E+00,4.28E-03,4.90E-02
BH20,2.21E-01,2.35E-01,1.33E-02,1.22E-02,2.10E+00,1.04E+00,0.00E+00,0.00E+00,1.51E-02,0.00E+00,7.47E-04,4.79E-02
