name,BY,PC,JL,FL,AS,RP1,RP2,RP3,EQ,HV,CT,TL,Log BCF*,Log Kow*
TPRP,0.38,0.19,0.24,0.4,0.96,2.47,2.7,1.42,1.8,0.01,12.34,5.22,-0.04,1.87
TiBP,0.4,2.68,2.07,4.22,2.41,12.18,14.46,2.11,6.05,6.98,26.32,15.67,1.29,3.6
TnBP,0.002,0.15,0.22,0.17,0.26,0.67,0.64,0.19,1.42,1.14,0.69,1.18,1.6,4
TCIPP,0.04,0.14,0.14,0.09,3.81,4.01,2.2,0.58,4.74,18.01,3.33,55,0.5,0.45
TDCP,0.69,0.11,6.42,9.05,2.73,5.61,6.24,12.38,85.45,14.15,11.62,128.95,1.331,3.65
TPhP,0.11,0.11,0.16,0.11,0.27,0.23,0.49,0.24,4.72,1.73,1.1,,2.054,4.7
EHDPP,1.1,1.1,1.13,1.09,2.79,2.69,2.47,2.3,1.35,2.9,2.99,,2.932,5.73
TEHP,0.1,0.08,4.37,4.32,10.21,10.54,9.75,8.56,5.13,13.21,12.04,,0.5,9.49
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
