name,TMP ,TEP ,TIBP ,TNBP ,TEHP ,TBOEP ,BHEHP ,TCEP ,TCIPP ,T3CPP,TDCP ,TPHP ,EHDPP ,TPPO ,CDPP,T2MPP,T3MPP,T4MPP,T2IPP,IDPP,TTBNPP,BADP ,RDP 
BS10,0.004216867,0.832871486,0.113634538,0.727449799,0.01497992,0.285421687,,4.835963855,4.603895582,2.879156627,,0.043232932,0.012991968,0.038092369,,,,,,0.005361446,,0.00746988,0.005060241
BS18,0.00482,0.59226,0.10494,0.2683,0.05416,0.50686,0.01664,3.57884,3.70258,2.31342,,0.06678,0.02186,0.05958,,,0.01962,0.02592,0.00202,0.02796,,0.003,
BS15,0.00244,0.18792,0.07126,0.02916,0.0526,0.03726,0.01132,2.56234,3.55428,2.21152,0.02468,0.03398,0.01422,0.016,,,0.0157,0.02464,,0.08326,,0.0137,0.00328
BS07,0.021727941,1.934889706,0.471102941,1.023308824,0.193088235,0.816433824,0.055661765,10.77444853,13.74702206,8.571213235,0.061323529,0.164191176,0.049080882,0.129007353,0.037610294,,0.041470588,0.064154412,,0.082573529,,0.019522059,0.006397059
BS06,0.01304,1.08656,0.30016,0.20676,0.11972,0.2579,0.07324,6.98244,4.05428,2.53018,0.03132,0.09536,0.0636,0.06616,0.0603,,0.02532,0.03688,,0.01796,0.26154,0.01396,0.01522
BS03_1,0.003927577,0.710362117,0.264651811,0.37281337,0.298384401,0.717493036,0.016267409,5.744818942,4.636072423,2.893899721,0.034986072,0.072256267,0.053370474,0.142618384,0.028913649,,,0.017270195,,0.029888579,,0.008746518,0.009303621
BS03_2,0.0051,0.64546,0.18854,0.61222,0.31282,0.07416,0.01574,5.3338,6.79532,4.2147,0.04136,0.08134,0.03456,0.03194,0.02238,,0.011,0.01168,0.00238,0.04078,,0.00614,
BS03_3,0.00398,0.63336,0.18618,0.31018,0.35922,0.06582,0.02198,4.127,4.99518,3.1277,0.0315,0.1183,0.02878,0.037,,,,0.01464,0.00284,0.01912,,0.0057,
BS03_4,0.008743719,0.989396985,0.195904523,0.853517588,0.339095477,0.429296482,,6.266909548,4.771809045,2.986809045,0.034974874,0.114497487,0.063718593,0.095226131,0.042788945,,0.01339196,0.019221106,,0.017211055,,0.012386935,0.01201005
BS03_5,0.004249423,0.740323326,0.167367206,0.395404157,0.243972286,0.04886836,,4.251778291,4.344203233,2.705034642,,0.05630485,0.034526559,0.038822171,0.031039261,,,0.012794457,,0.007713626,,0.010877598,0.004572748
BS03_6,0.018888889,0.596055556,0.016722222,,,,0.03175,2.68,0.88275,0.554416667,,,,0.017861111,,,,,,,,,
BS03_7,0.008042813,1.028960245,0.334311927,1.389051988,0.340061162,0.113944954,0.180275229,7.321529052,13.64920489,8.493088685,0.047920489,0.136911315,0.051926606,0.066116208,,,,0.021896024,,0.020825688,,0.007003058,0.009082569
BS03_8,0.013944316,1.439512761,0.274083527,0.618190255,0.377935035,0.42487239,,7.226310905,4.985266821,3.118190255,0.042227378,0.09099768,0.080556845,0.092366589,0.057146172,,0.01361949,0.019582367,0.002366589,0.021554524,,0.011740139,0.012018561
