name,TMP ,TEP ,TIBP ,TNBP ,TEHP ,TBOEP ,BHEHP ,TCEP ,TCIPP ,T3CPP,TDCP ,TPHP ,EHDPP ,TPPO ,CDPP,T2MPP,T3MPP,T4MPP,T2IPP,IDPP,TTBNPP,BADP ,RDP ,X,Y
BS10,0.004216867,0.832871486,0.113634538,0.727449799,0.01497992,0.285421687,,4.835963855,4.603895582,2.879156627,,0.043232932,0.012991968,0.038092369,,,,,,0.005361446,,0.00746988,0.005060241,121.3019,40.2681
BS18,0.00482,0.59226,0.10494,0.2683,0.05416,0.50686,0.01664,3.57884,3.70258,2.31342,,0.06678,0.02186,0.05958,,,0.01962,0.02592,0.00202,0.02796,,0.003,,120.6989,39.6639
BS15,0.00244,0.18792,0.07126,0.02916,0.0526,0.03726,0.01132,2.56234,3.55428,2.21152,0.02468,0.03398,0.01422,0.016,,,0.0157,0.02464,,0.08326,,0.0137,0.00328,120.0031,39.0019
BS07,0.021727941,1.934889706,0.471102941,1.023308824,0.193088235,0.816433824,0.055661765,10.77444853,13.74702206,8.571213235,0.061323529,0.164191176,0.049080882,0.129007353,0.037610294,,0.041470588,0.064154412,,0.082573529,,0.019522059,0.006397059,119.48,38.4319
BS06,0.01304,1.08656,0.30016,0.20676,0.11972,0.2579,0.07324,6.98244,4.05428,2.53018,0.03132,0.09536,0.0636,0.06616,0.0603,,0.02532,0.03688,,0.01796,0.26154,0.01396,0.01522,120.272,38.2002
BS03_1,0.008194369,0.850106313,0.188863264,0.574942327,0.382243008,0.189301896,0.041949296,4.855730418,4.897495003,3.059416725,0.034325344,0.089705698,0.052648383,0.062459565,0.049809953,0,0.013959166,0.018405891,0.003253417,0.034483015,0.166887255,0.010967569,0.010071749,119.4731,38.0139
BS04,0.005448578,0.725273523,0.141859956,0.589365427,0.166214442,0.247746171,0.047636761,3.492231947,2.152866521,1.346126915,,0.058030635,0.081378556,0.070131291,0.062472648,,,0.014113786,,0.034070022,,0.007002188,0.013982495,119.783,37.9046
BS05,0.015967078,1.203353909,0.164074074,0.266604938,0.088024691,0.840246914,,6.053539095,4.534444444,2.81936214,0.025,0.141502058,0.054917695,0.057160494,0.032407407,,0.014773663,0.020925926,,0.044526749,0.129074074,0.003744856,0.008168724,120.1943,37.9365
BS01,0.0049,0.57182,0.11396,0.25488,0.0729,0.23678,,5.183,4.95196,3.09332,0.02892,0.05506,0.01564,0.03984,0.07706,,0.25922,0.38982,0.00248,0.00858,,0.00338,,121.1061,38.7531
BS02,0.00704,0.47248,0.08664,0.04558,0.12556,0.07194,,4.37374,5.74384,3.59426,0.0424,0.10184,0.04252,0.02424,0.04444,,0.06112,0.0859,0.00244,0.03452,,0.0038,,121,39.25
BS08,0.00464,0.11316,0.0469,0.02512,0.0922,,,1.49218,2.4792,1.5438,0.02364,0.10922,0.04772,0.02334,0.02364,,0.04274,0.0662,,0.00344,,0.00304,,121.5169,39.2581
